district,organized_learning_2019_direct_pct,organized_learning_2019_sae_pct,child_marriage_before_18_2019_direct_pct,child_marriage_before_18_2019_sae_pct,year,organized_learning_definition,child_marriage_definition,source
Bagerhat,82.6,77.9,69.5,61.2,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Bandarban,44.7,63.8,32.5,49.3,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Barguna,80.6,77.8,60.9,51.4,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Barishal,83.8,78.1,49.6,51.7,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Bhola,71.6,76.7,60.5,51.1,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Bogura,84.6,76.2,69.6,63.4,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Brahmanbaria,79.5,74.2,46.7,52.1,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Chandpur,81.9,74.4,49.7,52.7,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Chattogram,77.8,73.1,39.5,51.2,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Chuadanga,81.8,75.7,60.4,62.1,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Cumilla,69.9,74.4,53.2,52.4,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Cox's Bazar,70.0,70.0,37.0,49.0,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Dhaka,77.4,71.0,41.2,52.8,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Dinajpur,74.5,68.9,59.2,50.7,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Faridpur,74.6,71.3,57.7,52.3,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Feni,61.4,74.2,38.7,52.1,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Gaibandha,62.2,68.8,62.1,51.7,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Gazipur,80.4,72.2,59.5,51.0,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Gopalganj,63.1,72.7,48.1,51.2,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Habiganj,64.8,68.6,32.4,41.2,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Joypurhat,74.6,73.6,50.0,63.5,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Jamalpur,76.5,76.5,58.4,51.3,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Jashore,93.8,76.2,56.4,62.5,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Jhalokathi,82.5,77.2,48.2,48.5,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Jhenaidah,75.6,76.3,67.3,61.6,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Khagrachhari,84.4,72.1,42.1,49.7,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Khulna,80.0,77.1,58.0,61.9,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Kishoreganj,58.4,70.5,40.2,51.4,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Kurigram,52.6,72.9,50.3,51.3,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Kushtia,81.9,77.0,59.2,61.8,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Lakshmipur,68.7,73.2,48.5,53.0,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Lalmonirhat,78.2,72.8,56.7,49.9,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Madaripur,80.0,73.0,43.5,51.9,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Magura,82.4,76.6,58.0,61.4,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Manikganj,83.3,73.7,63.6,51.6,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Meherpur,72.4,75.4,58.9,62.9,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Moulvibazar,69.2,66.9,27.2,41.4,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Munshiganj,68.8,74.8,48.5,51.3,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Mymensingh,76.5,74.9,49.7,50.9,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Naogaon,87.8,70.5,71.0,62.7,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Narail,75.0,76.8,71.6,62.2,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Narayanganj,70.8,72.6,44.3,51.6,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Narsingdi,62.1,71.0,41.7,52.1,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Natore,77.4,76.7,69.0,63.3,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Chapainawabganj,79.1,73.0,72.8,64.5,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Netrakona,71.4,74.3,44.3,50.1,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Nilphamari,76.4,69.7,57.8,50.0,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Noakhali,54.1,72.9,42.9,51.8,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Pabna,74.0,78.3,61.6,63.0,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Panchagarh,79.5,72.0,63.9,49.4,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Patuakhali,64.2,77.5,57.8,51.3,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Pirojpur,82.1,77.9,57.5,51.2,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Rajshahi,85.0,75.9,69.8,62.9,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Rajbari,71.2,72.4,55.7,50.9,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
Rangamati,74.2,72.5,43.4,48.9,2019,"Participation in organized learning, MICS 2019","Women age 20-24 first married before age 18, MICS 2019","BBS & UNICEF, Small Area Estimation: Upazila Level Prevalence of Participation in Organized Learning and Child Marriage in Bangladesh (April 2024)"
